time,paid_in,best_net,best_gross,bitcoin
2021-08-27 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16873.903141076487
2021-08-28 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16813.885306233384
2021-08-29 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16770.0384182403
2021-08-30 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16156.305769897981
2021-08-31 00:00:00+00:00,1800.0,15999.570421643253,17044.36046790379,16196.87239352897
2021-09-01 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16884.717085495824
2021-09-02 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,17035.42587390135
2021-09-03 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,17295.731104270584
2021-09-04 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,17266.846736515326
2021-09-05 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,17903.769530355923
2021-09-06 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,18217.52640749812
2021-09-07 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16211.128283869253
2021-09-08 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15929.057731114857
2021-09-09 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16049.033363073611
2021-09-10 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15514.85243829875
2021-09-11 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15626.508680502846
2021-09-12 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15921.077343520681
2021-09-13 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15545.923024068537
2021-09-14 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16296.843942385121
2021-09-15 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16646.185668760656
2021-09-16 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16513.49399657815
2021-09-17 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16362.036133369025
2021-09-18 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16705.45224034758
2021-09-19 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,16341.893178466167
2021-09-20 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14879.987871861073
2021-09-21 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14090.860026376004
2021-09-22 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15062.630474628717
2021-09-23 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15519.816398505793
2021-09-24 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14809.05685858903
2021-09-25 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14760.65219296037
2021-09-26 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14930.243212549502
2021-09-27 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14579.635416880747
2021-09-28 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14191.924180667933
2021-09-29 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,14364.10268613502
2021-09-30 00:00:00+00:00,1900.0,16099.570421643253,17144.36046790379,15159.657735846346
2021-10-01 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,16753.173264313424
2021-10-02 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,16576.68849779629
2021-10-03 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,16773.343732445457
2021-10-04 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,17130.01384914658
2021-10-05 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,17911.975139901326
2021-10-06 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19249.321910103765
2021-10-07 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,18716.966714015205
2021-10-08 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,18774.806898317445
2021-10-09 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19122.20643858026
2021-10-10 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19021.03744525647
2021-10-11 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19999.72008963648
2021-10-12 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19486.629875215523
